Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[准备] L2 创建文件夹 bulk_L2_67e68f6f,1,0,21.706587001972366,21.706587001972366,21.706587001972366,21.706587001972366,51.0,0.004979978500139074,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,[准备] L2 创建文件夹 bulk_L2_6bbc8cf8,1,0,28.149710997240618,28.149710997240618,28.149710997240618,28.149710997240618,51.0,0.004979978500139074,0.0,28,28,28,28,28,28,28,28,28,28,28
POST,[准备] L2 创建文件夹 bulk_L2_72e9f718,1,0,22.314627000014298,22.314627000014298,22.314627000014298,22.314627000014298,51.0,0.004979978500139074,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,[准备] L2 创建文件夹 bulk_L2_73b25c16,1,0,28.975393001019256,28.975393001019256,28.975393001019256,28.975393001019256,51.0,0.004979978500139074,0.0,29,29,29,29,29,29,29,29,29,29,29
POST,[准备] L2 创建文件夹 bulk_L2_77384c6d,1,0,21.965686999465106,21.965686999465106,21.965686999465106,21.965686999465106,51.0,0.004979978500139074,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,[准备] L2 创建文件夹 bulk_L2_7b431fe5,1,0,29.828833001374733,29.828833001374733,29.828833001374733,29.828833001374733,51.0,0.004979978500139074,0.0,30,30,30,30,30,30,30,30,30,30,30
POST,[准备] L2 创建文件夹 bulk_L2_a208a519,1,0,23.746530001517385,23.746530001517385,23.746530001517385,23.746530001517385,51.0,0.004979978500139074,0.0,24,24,24,24,24,24,24,24,24,24,24
POST,[准备] L2 创建文件夹 bulk_L2_a3b1e6c7,1,0,32.70389400131535,32.70389400131535,32.70389400131535,32.70389400131535,51.0,0.004979978500139074,0.0,33,33,33,33,33,33,33,33,33,33,33
POST,[准备] L2 创建文件夹 bulk_L2_b4e522e2,1,0,23.371425999357598,23.371425999357598,23.371425999357598,23.371425999357598,51.0,0.004979978500139074,0.0,23,23,23,23,23,23,23,23,23,23,23
POST,[准备] L2 创建文件夹 bulk_L2_b5139a8f,1,0,28.760498000337975,28.760498000337975,28.760498000337975,28.760498000337975,51.0,0.004979978500139074,0.0,29,29,29,29,29,29,29,29,29,29,29
POST,[准备] L2 创建文件夹 bulk_L2_b57f3d03,1,0,21.612345000903588,21.612345000903588,21.612345000903588,21.612345000903588,51.0,0.004979978500139074,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,[准备] L2 创建文件夹 bulk_L2_ecc70b7e,1,0,28.425012002117,28.425012002117,28.425012002117,28.425012002117,51.0,0.004979978500139074,0.0,28,28,28,28,28,28,28,28,28,28,28
POST,[准备] L3 创建文件夹 bulk_L3_15820924,1,0,23.956695000379113,23.956695000379113,23.956695000379113,23.956695000379113,51.0,0.004979978500139074,0.0,24,24,24,24,24,24,24,24,24,24,24
POST,[准备] L3 创建文件夹 bulk_L3_1661e722,1,0,27.557975001400337,27.557975001400337,27.557975001400337,27.557975001400337,51.0,0.004979978500139074,0.0,28,28,28,28,28,28,28,28,28,28,28
POST,[准备] L3 创建文件夹 bulk_L3_195affe0,1,0,35.84486299951095,35.84486299951095,35.84486299951095,35.84486299951095,51.0,0.004979978500139074,0.0,36,36,36,36,36,36,36,36,36,36,36
POST,[准备] L3 创建文件夹 bulk_L3_21f4eb2f,1,0,21.05357999971602,21.05357999971602,21.05357999971602,21.05357999971602,51.0,0.004979978500139074,0.0,21,21,21,21,21,21,21,21,21,21,21
POST,[准备] L3 创建文件夹 bulk_L3_34d7e44e,1,0,27.208633000554983,27.208633000554983,27.208633000554983,27.208633000554983,51.0,0.004979978500139074,0.0,27,27,27,27,27,27,27,27,27,27,27
POST,[准备] L3 创建文件夹 bulk_L3_38f19fee,1,0,38.496979999763425,38.496979999763425,38.496979999763425,38.496979999763425,51.0,0.004979978500139074,0.0,38,38,38,38,38,38,38,38,38,38,38
POST,[准备] L3 创建文件夹 bulk_L3_50df06bb,1,0,35.82702399944537,35.82702399944537,35.82702399944537,35.82702399944537,51.0,0.004979978500139074,0.0,36,36,36,36,36,36,36,36,36,36,36
POST,[准备] L3 创建文件夹 bulk_L3_5fa1762b,1,0,20.704939001007006,20.704939001007006,20.704939001007006,20.704939001007006,51.0,0.004979978500139074,0.0,21,21,21,21,21,21,21,21,21,21,21
POST,[准备] L3 创建文件夹 bulk_L3_67e68f6f,1,0,20.881692002149066,20.881692002149066,20.881692002149066,20.881692002149066,51.0,0.004979978500139074,0.0,21,21,21,21,21,21,21,21,21,21,21
POST,[准备] L3 创建文件夹 bulk_L3_6bbc8cf8,1,0,32.48578800048563,32.48578800048563,32.48578800048563,32.48578800048563,51.0,0.004979978500139074,0.0,32,32,32,32,32,32,32,32,32,32,32
POST,[准备] L3 创建文件夹 bulk_L3_72e9f718,1,0,23.80233800067799,23.80233800067799,23.80233800067799,23.80233800067799,51.0,0.004979978500139074,0.0,24,24,24,24,24,24,24,24,24,24,24
POST,[准备] L3 创建文件夹 bulk_L3_73b25c16,1,0,22.507396999571938,22.507396999571938,22.507396999571938,22.507396999571938,51.0,0.004979978500139074,0.0,23,23,23,23,23,23,23,23,23,23,23
POST,[准备] L3 创建文件夹 bulk_L3_77384c6d,1,0,31.46145799837541,31.46145799837541,31.46145799837541,31.46145799837541,51.0,0.004979978500139074,0.0,31,31,31,31,31,31,31,31,31,31,31
POST,[准备] L3 创建文件夹 bulk_L3_7b431fe5,1,0,33.37493399885716,33.37493399885716,33.37493399885716,33.37493399885716,51.0,0.004979978500139074,0.0,33,33,33,33,33,33,33,33,33,33,33
POST,[准备] L3 创建文件夹 bulk_L3_a208a519,1,0,19.021382999198977,19.021382999198977,19.021382999198977,19.021382999198977,51.0,0.004979978500139074,0.0,19,19,19,19,19,19,19,19,19,19,19
POST,[准备] L3 创建文件夹 bulk_L3_a3b1e6c7,1,0,36.052744999324204,36.052744999324204,36.052744999324204,36.052744999324204,51.0,0.004979978500139074,0.0,36,36,36,36,36,36,36,36,36,36,36
POST,[准备] L3 创建文件夹 bulk_L3_b4e522e2,1,0,21.93133999753627,21.93133999753627,21.93133999753627,21.93133999753627,51.0,0.004979978500139074,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,[准备] L3 创建文件夹 bulk_L3_b5139a8f,1,0,30.598061999626225,30.598061999626225,30.598061999626225,30.598061999626225,51.0,0.004979978500139074,0.0,31,31,31,31,31,31,31,31,31,31,31
POST,[准备] L3 创建文件夹 bulk_L3_b57f3d03,1,0,21.416520001366735,21.416520001366735,21.416520001366735,21.416520001366735,51.0,0.004979978500139074,0.0,21,21,21,21,21,21,21,21,21,21,21
POST,[准备] L3 创建文件夹 bulk_L3_ecc70b7e,1,0,22.815502001321875,22.815502001321875,22.815502001321875,22.815502001321875,51.0,0.004979978500139074,0.0,23,23,23,23,23,23,23,23,23,23,23
POST,[准备] L4 创建文件夹 bulk_L4_15820924,1,0,54.750735998823075,54.750735998823075,54.750735998823075,54.750735998823075,52.0,0.004979978500139074,0.0,55,55,55,55,55,55,55,55,55,55,55
POST,[准备] L4 创建文件夹 bulk_L4_1661e722,1,0,25.00732699991204,25.00732699991204,25.00732699991204,25.00732699991204,51.0,0.004979978500139074,0.0,25,25,25,25,25,25,25,25,25,25,25
POST,[准备] L4 创建文件夹 bulk_L4_195affe0,1,0,54.48965699906694,54.48965699906694,54.48965699906694,54.48965699906694,51.0,0.004979978500139074,0.0,54,54,54,54,54,54,54,54,54,54,54
POST,[准备] L4 创建文件夹 bulk_L4_21f4eb2f,1,0,33.5231399985787,33.5231399985787,33.5231399985787,33.5231399985787,51.0,0.004979978500139074,0.0,34,34,34,34,34,34,34,34,34,34,34
POST,[准备] L4 创建文件夹 bulk_L4_34d7e44e,1,0,25.131836002401542,25.131836002401542,25.131836002401542,25.131836002401542,51.0,0.004979978500139074,0.0,25,25,25,25,25,25,25,25,25,25,25
POST,[准备] L4 创建文件夹 bulk_L4_38f19fee,1,0,48.67820300205494,48.67820300205494,48.67820300205494,48.67820300205494,51.0,0.004979978500139074,0.0,49,49,49,49,49,49,49,49,49,49,49
POST,[准备] L4 创建文件夹 bulk_L4_50df06bb,1,0,48.81247600133065,48.81247600133065,48.81247600133065,48.81247600133065,51.0,0.004979978500139074,0.0,49,49,49,49,49,49,49,49,49,49,49
